district_id,ran_program,turnout_2018,turnout_2022,median_income,urbanicity
D001,0,0.65,0.682,79050,0.13
D002,0,0.661,0.69,49941,0.62
D003,0,0.63,0.623,69687,0.38
D004,0,0.602,0.581,43521,0.84
D005,0,0.571,0.605,74740,0.07
D006,0,0.621,0.589,60126,0.82
D007,1,0.694,0.759,68884,0.75
D008,1,0.724,0.718,58406,0.78
D009,0,0.635,0.675,65597,0.51
D010,1,0.683,0.675,44791,0.47
D011,0,0.67,0.648,61264,0.79
D012,0,0.597,0.619,51433,0.45
D013,1,0.657,0.731,81536,0.01
D014,1,0.649,0.698,74334,0.4
D015,1,0.755,0.76,92074,0.92
D016,1,0.63,0.711,99160,0.61
D017,0,0.656,0.672,80111,0.19
D018,0,0.567,0.569,61380,0.1
D019,0,0.578,0.632,76926,0.07
D020,0,0.562,0.568,55851,0.06
D021,0,0.574,0.62,48336,0.11
D022,1,0.707,0.685,75387,0.13
D023,1,0.675,0.694,55887,0.94
D024,0,0.566,0.555,78935,0.14
D025,1,0.737,0.734,51957,0.88
D026,1,0.675,0.751,63734,0.46
D027,1,0.723,0.679,71174,0.18
D028,1,0.687,0.712,57370,0.18
D029,1,0.683,0.699,62359,0.27
D030,0,0.672,0.668,18186,0.22
D031,0,0.548,0.592,66382,0.11
D032,0,0.663,0.65,85699,0.46
D033,1,0.706,0.755,69244,0.86
D034,0,0.636,0.652,59386,0.75
D035,1,0.666,0.724,83329,0.14
D036,0,0.575,0.616,50417,0.29
D037,1,0.67,0.687,64415,0.15
D038,0,0.585,0.613,79171,0.7
D039,1,0.71,0.726,69236,0.39
D040,1,0.723,0.743,63187,0.93
D041,1,0.743,0.776,78929,0.34
D042,1,0.722,0.737,75474,0.83
D043,0,0.639,0.635,68789,0.56
D044,0,0.588,0.61,59249,0.21
D045,0,0.646,0.636,90222,0.46
D046,0,0.596,0.591,58549,0.22
D047,1,0.671,0.694,76429,0.99
D048,1,0.684,0.736,53411,0.7
D049,0,0.724,0.713,52865,0.88
D050,1,0.69,0.718,55140,0.59
D051,1,0.682,0.761,47201,0.23
D052,1,0.702,0.727,84513,0.62
D053,0,0.57,0.593,82952,0.04
D054,0,0.586,0.626,49281,0.28
D055,1,0.668,0.696,99740,0.29
D056,0,0.662,0.668,59230,0.91
D057,1,0.68,0.682,63946,0.38
D058,0,0.562,0.599,59495,0.19
D059,1,0.674,0.717,81018,0.83
D060,0,0.644,0.67,65297,0.72
D061,1,0.685,0.696,67418,0.64
D062,0,0.626,0.604,48397,0.17
D063,1,0.716,0.707,85588,0.79
D064,1,0.745,0.761,84854,0.6
D065,1,0.632,0.675,66443,0.38
D066,0,0.584,0.58,82621,0.19
D067,1,0.733,0.759,85248,0.94
D068,0,0.67,0.697,97845,0.41
D069,0,0.645,0.597,63904,0.44
D070,1,0.631,0.664,63815,0.69
D071,0,0.561,0.58,73182,0.03
D072,1,0.669,0.708,49204,0.26
D073,1,0.738,0.721,96676,0.84
D074,0,0.625,0.679,79738,0.59
D075,1,0.737,0.691,58335,0.25
D076,0,0.594,0.652,82256,0.41
D077,1,0.71,0.696,86561,0.34
D078,0,0.644,0.68,65341,0.99
D079,0,0.649,0.704,64024,0.65
D080,0,0.581,0.597,80565,0.18
