voter_id,age,past_vote_score,received_mail,turned_out_2022
1,21,0,0,0
2,31,1,0,0
3,72,0,1,1
4,82,1,0,0
5,71,4,1,1
6,38,0,0,0
7,45,1,0,0
8,66,0,0,0
9,51,4,1,1
10,33,4,0,1
11,55,4,1,1
12,42,2,0,1
13,55,1,0,0
14,66,0,0,0
15,38,2,0,1
16,27,2,0,1
17,38,1,0,1
18,46,4,1,1
19,47,0,0,0
20,52,3,1,0
21,58,4,1,1
22,36,3,1,1
23,51,4,1,1
24,69,4,1,0
25,83,1,0,0
26,37,0,0,0
27,26,3,1,1
28,50,3,0,0
29,32,0,0,0
30,61,2,1,1
31,18,3,0,0
32,82,2,0,1
33,56,0,0,0
34,37,1,0,1
35,18,4,1,1
36,64,0,0,0
37,48,2,1,0
38,28,0,0,0
39,34,4,1,1
40,39,4,1,1
41,45,3,0,1
42,57,1,0,0
43,74,2,0,1
44,46,1,1,1
45,47,4,1,1
46,47,0,0,1
47,27,2,0,1
48,45,3,1,1
49,78,4,1,1
50,42,3,1,1
51,72,2,0,0
52,30,0,0,0
53,49,0,0,0
54,72,1,0,0
55,74,0,0,0
56,24,0,0,0
57,29,0,0,0
58,70,1,0,1
59,25,3,1,1
60,51,3,0,0
61,72,2,0,0
62,80,4,1,1
63,25,0,0,1
64,79,4,1,1
65,25,1,0,1
66,26,1,0,0
67,69,1,0,0
68,23,1,0,0
69,84,4,1,1
70,48,2,1,1
71,76,2,1,0
72,19,0,0,0
73,27,0,0,0
74,62,1,0,0
75,54,2,1,0
76,19,2,0,0
77,35,0,0,0
78,37,4,1,1
79,44,2,0,0
80,80,4,1,1
81,29,0,0,0
82,18,0,0,1
83,38,2,0,0
84,19,3,1,0
85,22,1,0,0
86,73,1,0,0
87,63,0,0,0
88,63,0,0,0
89,37,3,0,1
90,40,1,0,1
91,70,2,0,0
92,52,1,0,0
93,22,3,0,1
94,62,3,1,0
95,46,1,1,1
96,53,2,0,0
97,62,2,0,1
98,60,4,0,1
99,40,2,0,0
100,31,0,0,0
101,73,2,0,1
102,42,3,1,1
103,84,0,0,0
104,64,1,0,0
105,58,2,0,1
106,82,2,1,1
107,55,3,1,1
108,40,3,1,1
109,18,4,1,1
110,59,4,1,1
111,83,1,0,0
112,28,1,0,0
113,60,4,1,0
114,57,1,0,1
115,23,0,0,0
116,76,0,0,0
117,67,1,0,1
118,31,0,0,0
119,77,4,1,1
120,76,0,0,0
121,58,4,0,1
122,82,4,1,1
123,38,3,0,1
124,49,2,0,1
125,80,4,1,1
126,54,0,0,0
127,28,4,1,1
128,45,1,1,0
129,77,4,1,1
130,67,3,0,1
131,66,0,0,0
132,67,2,0,0
133,46,3,1,1
134,21,3,1,1
135,39,3,0,0
136,21,4,0,1
137,28,0,0,1
138,41,3,1,1
139,76,1,0,0
140,53,3,0,0
141,28,2,0,0
142,62,0,0,1
143,21,0,0,0
144,37,0,0,0
145,45,0,0,0
146,39,2,0,0
147,38,0,0,1
148,57,0,0,0
149,68,3,0,1
150,49,4,1,1
151,33,4,1,1
152,62,0,0,0
153,82,0,0,1
154,80,3,1,0
155,37,3,1,1
156,79,2,0,0
157,52,4,1,1
158,53,0,0,0
159,66,3,1,1
160,41,2,0,1
161,61,2,1,0
162,19,2,0,1
163,70,1,0,0
164,80,3,1,1
165,46,2,0,1
166,65,4,1,1
167,60,3,1,1
168,50,2,1,0
169,33,2,0,0
170,42,1,0,0
171,54,4,0,1
172,47,2,0,1
173,34,4,1,0
174,55,4,1,1
175,31,3,0,1
176,79,3,1,1
177,50,0,0,0
178,69,0,0,0
179,37,0,0,0
180,28,2,0,1
181,46,3,0,1
182,56,3,0,0
183,25,2,0,0
184,45,1,0,1
185,40,1,0,1
186,75,3,0,1
187,47,0,0,0
188,27,3,0,0
189,43,4,1,1
190,52,1,0,1
191,57,1,0,0
192,74,2,1,0
193,52,3,1,1
194,23,0,0,0
195,50,4,1,1
196,20,4,0,1
197,23,2,0,1
198,74,4,0,1
199,73,4,1,1
200,78,0,0,0
201,38,0,0,0
202,69,2,0,0
203,29,3,1,1
204,83,3,0,1
205,77,4,1,1
206,81,2,0,0
207,52,1,0,0
208,80,3,1,0
209,48,4,1,1
210,70,0,0,0
211,77,0,0,0
212,81,1,0,1
213,71,2,0,0
214,76,1,0,0
215,83,4,1,1
216,53,0,0,0
217,82,2,1,1
218,80,2,0,1
219,62,3,1,1
220,76,3,0,0
221,67,1,0,0
222,58,0,0,0
223,67,3,0,0
224,81,1,0,1
225,60,4,0,1
226,30,3,1,1
227,70,1,0,0
228,78,0,0,0
229,68,4,1,1
230,66,4,0,1
231,22,3,1,1
232,47,2,0,1
233,30,0,0,0
234,23,0,0,1
235,65,2,0,1
236,41,3,1,1
237,48,3,1,1
238,77,1,0,0
239,77,0,0,0
240,27,1,0,0
241,56,4,1,1
242,76,2,0,1
243,79,3,1,1
244,55,2,0,1
245,53,3,1,0
246,81,0,0,0
247,63,1,0,1
248,35,2,0,0
249,57,0,0,1
250,34,2,1,1
251,40,3,1,0
252,82,2,0,0
253,79,2,0,1
254,32,2,0,1
255,68,1,0,0
256,29,2,0,1
257,33,4,1,1
258,66,2,0,0
259,47,0,0,0
260,59,4,0,1
261,77,0,0,0
262,32,3,1,0
263,81,2,1,1
264,35,4,1,1
265,71,4,1,1
266,30,3,0,1
267,22,2,0,1
268,48,3,0,1
269,63,2,1,1
270,76,0,0,0
271,20,4,1,1
272,44,1,1,0
273,45,1,0,1
274,18,1,0,0
275,50,1,0,1
276,34,0,1,0
277,59,1,1,1
278,71,1,0,0
279,75,3,0,1
280,75,0,0,0
281,84,0,0,0
282,25,0,0,0
283,31,3,1,0
284,28,0,0,1
285,53,1,0,0
286,66,2,0,1
287,82,3,1,1
288,45,0,0,0
289,61,3,0,1
290,58,0,0,0
291,37,2,0,1
292,28,0,0,1
293,34,2,0,0
294,60,4,1,1
295,24,3,0,1
296,31,2,0,1
297,46,3,0,1
298,65,4,1,1
299,72,1,0,0
300,21,4,1,1
301,21,2,1,0
302,61,2,0,1
303,69,1,1,0
304,29,0,0,0
305,76,3,1,1
306,28,2,0,1
307,24,4,1,1
308,80,3,1,1
309,83,1,0,0
310,80,2,0,1
311,68,1,0,1
312,56,1,0,0
313,55,2,1,1
314,40,3,1,1
315,82,1,0,0
316,27,2,0,0
317,20,3,1,1
318,72,2,0,0
319,55,3,1,1
320,39,2,0,0
321,29,2,0,1
322,69,3,1,1
323,61,2,1,0
324,83,0,0,0
325,62,1,0,0
326,48,1,0,1
327,37,1,0,0
328,81,1,0,0
329,75,4,1,1
330,59,4,0,1
331,74,1,1,0
332,53,2,0,1
333,57,0,0,1
