household_id,treatment,turned_out
1,1,1
2,0,0
3,0,0
4,0,0
5,1,1
6,0,1
7,1,0
8,0,1
9,1,0
10,0,0
11,0,1
12,1,0
13,0,0
14,1,1
15,1,0
16,1,1
17,0,1
18,0,0
19,1,0
20,1,0
21,0,0
22,0,1
23,1,0
24,1,1
25,0,0
26,1,1
27,1,1
28,0,0
29,1,0
30,0,0
31,1,1
32,0,1
33,1,1
34,1,1
35,0,1
36,1,1
37,0,1
38,1,0
39,1,0
40,0,0
41,0,0
42,0,0
43,1,0
44,1,0
45,0,0
46,1,0
47,0,0
48,1,0
49,0,0
50,0,1
51,0,0
52,0,1
53,0,1
54,1,0
55,1,0
56,1,1
57,1,0
58,0,1
59,1,0
60,0,1
61,0,0
62,1,0
63,1,0
64,1,0
65,0,0
66,1,0
67,1,0
68,1,1
69,1,0
70,1,1
71,1,0
72,0,1
73,0,0
74,1,1
75,1,0
76,1,0
77,0,1
78,1,0
79,0,1
80,0,0
81,1,1
82,0,1
83,0,0
84,0,1
85,1,0
86,1,0
87,0,0
88,1,1
89,0,1
90,1,0
91,0,1
92,1,1
93,1,0
94,1,1
95,0,1
96,1,1
97,0,1
98,1,0
99,0,1
100,0,0
101,1,1
102,0,0
103,0,0
104,1,0
105,0,0
106,1,1
107,0,0
108,0,0
109,1,0
110,1,1
111,1,0
112,0,0
113,0,0
114,0,1
115,0,0
116,1,1
117,0,0
118,1,0
119,0,0
120,1,1
121,0,1
122,1,0
123,0,0
124,1,0
125,1,1
126,0,1
127,1,0
128,1,0
129,0,1
130,0,0
131,1,0
132,0,0
133,0,1
134,0,0
135,0,1
136,0,1
137,1,1
138,0,1
139,1,0
140,0,0
141,1,1
142,0,0
143,0,0
144,1,1
145,1,1
146,1,1
147,1,0
148,0,1
149,1,1
150,1,0
151,0,1
152,1,0
153,0,1
154,0,0
155,1,1
156,1,0
157,0,1
158,1,0
159,0,0
160,1,1
161,0,0
162,1,0
163,1,0
164,0,1
165,1,1
166,1,1
167,0,0
168,0,1
169,0,0
170,1,1
171,0,0
172,1,0
173,1,1
174,0,1
175,1,0
176,0,1
177,1,1
178,1,0
179,1,0
180,1,1
181,0,0
182,1,1
183,0,0
184,1,0
185,1,0
186,0,1
187,0,0
188,0,1
189,0,1
190,1,0
191,0,1
192,0,0
193,1,1
194,1,1
195,1,0
196,0,1
197,1,0
198,0,1
199,0,0
200,1,0
201,1,1
202,1,0
203,0,0
204,0,0
205,0,1
206,0,1
207,1,1
208,1,0
209,1,1
210,0,1
211,0,0
212,1,0
213,0,0
214,0,0
215,0,0
216,1,0
217,1,0
218,0,0
219,1,0
220,0,1
221,0,0
222,1,1
223,1,0
224,1,1
225,0,1
226,0,1
227,1,0
228,1,0
229,0,1
230,0,1
231,0,0
232,1,0
233,0,0
234,1,0
235,0,1
236,0,0
237,1,1
238,1,1
239,1,1
240,0,0
241,0,0
242,0,1
243,1,0
244,1,1
245,1,0
246,1,0
247,1,1
248,0,0
249,0,0
250,0,0
251,0,0
252,1,0
253,1,0
254,0,0
255,0,1
256,0,1
257,1,1
258,0,1
259,1,0
260,0,1
261,1,1
262,0,1
263,1,0
264,0,0
265,1,1
266,1,0
267,0,0
268,0,1
269,1,0
270,1,0
271,1,1
272,0,0
273,1,0
274,1,0
275,0,0
276,1,0
277,0,0
278,0,0
279,0,1
280,0,1
281,0,0
282,1,0
283,1,1
284,0,1
285,0,1
286,1,1
287,1,1
288,1,0
289,0,0
290,1,1
291,1,1
292,0,0
293,0,0
294,0,1
295,0,0
296,0,0
297,1,1
298,0,0
299,1,0
300,1,1
301,0,0
302,0,1
303,1,1
304,0,0
305,1,0
306,0,1
307,0,0
308,1,0
309,0,0
310,0,0
311,1,1
312,1,1
313,1,1
314,1,1
315,0,0
316,1,1
317,1,0
318,0,0
319,0,1
320,0,0
321,1,1
322,0,0
323,0,1
324,1,1
325,0,0
326,1,1
327,1,0
328,0,0
329,0,0
330,0,1
331,0,0
332,1,1
333,1,0
334,1,1
335,1,1
336,0,1
337,0,1
338,1,0
339,0,0
340,0,1
341,1,1
342,1,1
343,0,0
344,1,0
345,1,0
346,1,0
347,0,0
348,1,0
349,1,0
350,1,0
351,0,0
352,1,0
353,0,0
354,1,0
355,0,1
356,1,0
357,0,0
358,1,0
359,1,1
360,1,0
361,0,0
362,1,0
363,0,0
364,1,1
365,0,0
366,1,0
367,1,0
368,1,0
369,0,0
370,1,1
371,0,0
372,0,0
373,0,0
374,1,0
375,1,1
376,0,0
377,0,1
378,1,1
379,0,1
380,1,0
381,1,0
382,0,0
383,0,0
384,1,1
385,0,0
386,0,0
387,1,1
388,0,1
389,1,1
390,1,0
391,0,1
392,0,1
393,0,0
394,1,0
395,0,1
396,1,1
397,0,1
398,0,0
399,0,1
400,0,1
