voter_id,assigned_treatment,viewed_ad,turned_out
1,1,0,0
2,1,0,0
3,0,0,0
4,0,0,1
5,0,0,0
6,0,0,0
7,1,0,0
8,0,0,1
9,0,0,1
10,1,1,0
11,1,1,1
12,1,0,0
13,0,0,1
14,0,0,1
15,1,1,0
16,1,0,1
17,1,1,1
18,0,0,0
19,1,0,1
20,0,0,0
21,0,0,0
22,0,0,1
23,0,0,0
24,0,0,0
25,0,0,0
26,1,0,0
27,0,0,1
28,0,0,1
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,1,0,0
34,0,0,0
35,1,1,0
36,0,0,0
37,1,0,0
38,0,0,0
39,1,0,0
40,1,1,1
41,0,0,1
42,1,0,1
43,0,0,1
44,0,0,0
45,0,0,0
46,1,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,1,0,0
52,1,1,0
53,0,0,1
54,1,0,0
55,0,0,0
56,0,0,0
57,0,0,1
58,1,0,1
59,0,0,0
60,1,0,1
61,1,1,1
62,0,0,1
63,1,1,0
64,0,0,1
65,0,0,0
66,1,1,1
67,0,0,0
68,1,1,0
69,1,1,1
70,1,0,0
71,1,0,1
72,1,0,0
73,1,1,1
74,0,0,0
75,1,0,1
76,1,1,0
77,1,0,0
78,0,0,1
79,0,0,0
80,0,0,0
81,1,0,0
82,1,0,0
83,1,1,0
84,1,0,0
85,0,0,0
86,0,0,1
87,1,0,1
88,1,0,1
89,1,0,1
90,1,1,0
91,1,0,0
92,0,0,1
93,0,0,0
94,0,0,0
95,0,0,1
96,1,0,0
97,1,1,0
98,0,0,1
99,0,0,1
100,0,0,1
101,0,0,0
102,0,0,1
103,0,0,0
104,1,1,0
105,0,0,1
106,0,0,0
107,0,0,1
108,0,0,0
109,0,0,1
110,0,0,1
111,1,0,0
112,0,0,1
113,1,1,1
114,1,0,1
115,1,0,0
116,1,0,1
117,0,0,1
118,0,0,0
119,0,0,0
120,1,0,0
121,0,0,0
122,0,0,0
123,0,0,1
124,0,0,0
125,1,1,0
126,1,1,1
127,1,0,1
128,1,0,1
129,1,0,0
130,0,0,0
131,1,1,0
132,1,1,0
133,1,1,1
134,0,0,1
135,1,1,0
136,0,0,0
137,1,1,0
138,0,0,0
139,1,1,1
140,1,1,1
141,1,0,0
142,1,0,0
143,0,0,1
144,0,0,0
145,1,1,1
146,1,1,1
147,0,0,1
148,1,0,0
149,1,0,0
150,1,0,1
151,0,0,1
152,1,1,0
153,0,0,0
154,1,0,0
155,1,0,0
156,1,1,0
157,1,0,0
158,1,1,1
159,1,1,1
160,1,0,0
161,1,1,1
162,0,0,0
163,1,0,1
164,1,1,0
165,1,1,1
166,1,0,0
167,0,0,0
168,1,1,1
169,1,0,1
170,0,0,0
171,0,0,1
172,1,0,0
173,0,0,1
174,1,1,1
175,1,0,1
176,0,0,1
177,0,0,1
178,1,0,0
179,1,1,1
180,0,0,0
181,1,0,1
182,1,1,0
183,1,0,1
184,0,0,1
185,1,0,0
186,0,0,0
187,1,1,0
188,0,0,0
189,1,0,0
190,0,0,1
191,1,0,0
192,1,1,1
193,1,0,1
194,1,0,0
195,1,0,1
196,0,0,0
197,1,1,0
198,1,1,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,1
203,0,0,1
204,0,0,1
205,0,0,0
206,1,1,1
207,0,0,1
208,1,1,1
209,0,0,0
210,0,0,1
211,1,0,1
212,1,1,1
213,0,0,0
214,1,0,1
215,0,0,0
216,1,0,0
217,1,0,1
218,1,0,1
219,1,1,0
220,1,1,1
221,0,0,0
222,1,1,1
223,1,0,1
224,0,0,1
225,1,1,0
226,1,1,1
227,1,0,1
228,0,0,0
229,0,0,1
230,1,1,0
231,1,1,0
232,0,0,0
233,1,0,0
234,0,0,1
235,0,0,0
236,1,0,0
237,1,1,1
238,0,0,1
239,1,0,1
240,0,0,1
241,0,0,0
242,0,0,0
243,1,1,1
244,0,0,0
245,0,0,0
246,0,0,1
247,0,0,1
248,1,0,0
249,1,1,0
250,0,0,0
251,0,0,0
252,0,0,1
253,0,0,0
254,0,0,0
255,0,0,1
256,1,0,0
257,1,0,0
258,1,0,0
259,0,0,0
260,1,0,1
261,1,1,1
262,0,0,0
263,0,0,0
264,1,0,0
265,0,0,1
266,0,0,1
267,1,0,1
268,1,0,1
269,0,0,0
270,1,1,1
271,0,0,0
272,0,0,0
273,0,0,0
274,1,0,1
275,1,0,0
276,0,0,1
277,0,0,1
278,0,0,1
279,0,0,0
280,0,0,0
281,1,1,0
282,1,0,0
283,0,0,0
284,0,0,1
285,1,0,1
286,0,0,0
287,1,0,0
288,0,0,0
289,0,0,1
290,0,0,1
291,0,0,0
292,0,0,0
293,0,0,0
294,1,0,0
295,0,0,1
296,0,0,0
297,1,0,0
298,0,0,1
299,0,0,0
300,1,0,0
301,1,0,0
302,1,0,0
303,0,0,1
304,0,0,1
305,0,0,1
306,1,1,0
307,0,0,1
308,1,1,1
309,0,0,0
310,1,0,1
311,1,1,1
312,1,0,1
313,1,1,0
314,0,0,1
315,0,0,1
316,1,0,0
317,0,0,0
318,0,0,0
319,0,0,1
320,1,1,1
321,1,0,0
322,0,0,0
323,1,1,0
324,0,0,1
325,1,0,1
326,0,0,0
327,1,0,0
328,0,0,0
329,0,0,0
330,0,0,0
331,1,0,0
332,0,0,0
333,1,0,1
334,0,0,1
335,0,0,0
336,0,0,0
337,1,0,0
338,0,0,0
339,0,0,0
340,1,0,0
341,1,0,0
342,0,0,0
343,1,0,0
344,0,0,1
345,0,0,1
346,0,0,0
347,1,1,0
348,1,0,1
349,0,0,1
350,1,1,0
351,1,1,1
352,1,1,0
353,1,1,0
354,0,0,0
355,0,0,0
356,1,1,1
357,0,0,0
358,1,0,0
359,1,1,0
360,0,0,1
361,0,0,0
362,0,0,1
363,0,0,1
364,1,1,0
365,0,0,1
366,1,1,0
367,0,0,1
368,1,0,1
369,0,0,0
370,0,0,0
371,0,0,0
372,1,0,1
373,0,0,0
374,1,0,0
375,0,0,1
376,0,0,1
377,1,0,0
378,1,1,0
379,0,0,0
380,0,0,1
381,1,0,1
382,0,0,1
383,0,0,1
384,1,1,1
385,1,1,0
386,0,0,1
387,1,0,1
388,0,0,0
389,1,0,1
390,1,0,0
391,1,0,0
392,0,0,1
393,1,0,0
394,1,0,0
395,1,0,0
396,0,0,1
397,1,1,1
398,1,0,1
399,0,0,1
400,0,0,1
401,0,0,1
402,0,0,1
403,0,0,1
404,1,0,0
405,0,0,0
406,1,0,1
407,1,0,1
408,1,0,0
409,1,0,0
410,1,0,0
411,0,0,0
412,0,0,1
413,0,0,1
414,0,0,1
415,0,0,1
416,0,0,1
417,1,0,1
418,1,0,0
419,0,0,0
420,1,0,0
421,0,0,0
422,0,0,0
423,1,0,1
424,1,0,1
425,0,0,0
426,0,0,1
427,0,0,1
428,1,1,1
429,0,0,0
430,1,0,1
431,0,0,0
432,1,0,1
433,1,0,1
434,0,0,1
435,0,0,1
436,0,0,1
437,0,0,0
438,0,0,0
439,0,0,0
440,1,1,1
441,0,0,0
442,1,0,1
443,0,0,0
444,0,0,1
445,0,0,0
446,1,0,0
447,0,0,1
448,0,0,1
449,0,0,1
450,1,1,1
451,0,0,0
452,1,1,0
453,0,0,0
454,1,1,0
455,1,1,1
456,0,0,0
457,0,0,1
458,1,0,0
459,0,0,0
460,1,1,1
461,1,1,1
462,0,0,1
463,1,0,1
464,0,0,1
465,0,0,0
466,1,0,0
467,1,0,0
468,1,1,1
469,1,0,0
470,1,0,0
471,0,0,0
472,0,0,1
473,1,1,1
474,0,0,0
475,0,0,1
476,1,0,0
477,0,0,0
478,1,0,1
479,1,1,1
480,1,0,0
481,1,0,1
482,1,0,1
483,1,0,1
484,1,0,1
485,1,0,0
486,0,0,1
487,0,0,1
488,1,0,0
489,0,0,0
490,0,0,0
491,1,0,1
492,0,0,1
493,0,0,0
494,1,0,1
495,1,0,0
496,0,0,0
497,0,0,0
498,1,0,1
499,0,0,0
500,1,0,0
501,0,0,1
502,0,0,0
503,0,0,1
504,0,0,0
505,1,1,0
506,1,1,0
507,0,0,1
508,1,0,0
509,0,0,1
510,1,1,0
511,0,0,1
512,0,0,0
513,0,0,1
514,1,1,1
515,1,1,1
516,0,0,0
517,1,1,0
518,1,1,0
519,1,0,1
520,1,0,0
521,1,0,1
522,1,1,1
523,0,0,1
524,1,1,0
525,0,0,0
526,0,0,1
527,0,0,0
528,1,1,0
529,0,0,0
530,0,0,0
531,0,0,0
532,0,0,0
533,0,0,0
534,1,0,1
535,1,1,1
536,0,0,0
537,0,0,0
538,0,0,0
539,1,1,0
540,1,0,0
541,1,0,0
542,0,0,1
543,0,0,0
544,1,0,0
545,1,0,0
546,0,0,0
547,1,0,0
548,0,0,0
549,0,0,1
550,1,1,0
551,0,0,1
552,1,0,0
553,1,0,0
554,0,0,0
555,1,0,0
556,1,0,1
557,0,0,0
558,1,0,1
559,0,0,1
560,0,0,0
561,1,1,1
562,1,1,1
563,0,0,1
564,0,0,0
565,1,0,0
566,0,0,1
567,0,0,1
568,1,0,0
569,0,0,0
570,1,0,1
571,0,0,1
572,1,0,0
573,1,1,1
574,0,0,1
575,1,0,0
576,0,0,0
577,0,0,0
578,0,0,1
579,1,0,1
580,1,0,0
581,0,0,0
582,0,0,1
583,0,0,0
584,1,0,1
585,0,0,1
586,1,0,0
587,1,1,1
588,1,0,1
589,1,0,1
590,0,0,1
591,1,0,0
592,1,1,1
593,1,0,0
594,0,0,0
595,1,1,1
596,0,0,0
597,0,0,1
598,0,0,1
599,0,0,1
600,1,1,1
601,1,1,1
602,1,0,1
603,0,0,1
604,1,0,0
605,1,0,0
606,1,0,0
607,0,0,1
608,1,0,1
609,0,0,1
610,0,0,0
611,1,0,0
612,0,0,1
613,0,0,1
614,0,0,1
615,0,0,0
616,0,0,1
617,1,1,1
618,0,0,0
619,0,0,1
620,0,0,1
621,1,1,0
622,1,0,0
623,1,1,0
624,0,0,0
625,0,0,1
626,1,0,1
627,1,0,0
628,0,0,1
629,1,1,0
630,0,0,0
631,1,0,0
632,1,0,0
633,1,0,0
634,0,0,0
635,0,0,1
636,0,0,0
637,0,0,0
638,1,0,0
639,1,0,0
640,0,0,1
641,1,1,0
642,0,0,0
643,1,1,0
644,0,0,1
645,0,0,1
646,0,0,1
647,0,0,0
648,0,0,0
649,0,0,1
650,1,1,0
651,0,0,1
652,1,0,0
653,0,0,1
654,1,0,1
655,1,0,1
656,1,1,1
657,0,0,0
658,0,0,0
659,0,0,0
660,1,1,1
661,0,0,1
662,0,0,0
663,0,0,1
664,0,0,0
665,1,1,0
666,0,0,0
667,0,0,1
668,1,0,0
669,1,0,1
670,0,0,1
671,0,0,0
672,1,0,0
673,0,0,1
674,0,0,0
675,1,0,1
676,0,0,1
677,1,0,0
678,1,1,0
679,0,0,0
680,1,1,0
681,1,0,0
682,1,1,1
683,0,0,1
684,0,0,1
685,1,0,1
686,0,0,1
687,0,0,1
688,0,0,1
689,1,0,0
690,1,1,1
691,0,0,1
692,0,0,1
693,1,0,1
694,0,0,1
695,0,0,0
696,0,0,0
697,1,0,0
698,0,0,0
699,1,0,0
700,1,0,0
701,0,0,0
702,0,0,1
703,1,1,1
704,1,0,0
705,0,0,0
706,0,0,0
707,1,0,0
708,0,0,0
709,1,1,0
710,0,0,0
711,0,0,0
712,1,0,1
713,0,0,0
714,1,1,1
715,0,0,0
716,1,1,1
717,0,0,0
718,1,0,0
719,0,0,1
720,0,0,1
721,0,0,1
722,1,1,1
723,1,1,1
724,1,1,1
725,1,1,0
726,0,0,1
727,1,0,0
728,1,1,0
729,1,1,1
730,1,0,1
731,1,1,1
732,0,0,0
733,0,0,1
734,0,0,0
735,1,0,1
736,1,0,1
737,1,1,1
738,0,0,1
739,0,0,0
740,1,0,0
741,1,1,1
742,1,0,0
743,1,0,0
744,1,1,0
745,0,0,0
746,1,0,1
747,1,1,0
748,0,0,0
749,0,0,0
750,1,0,1
751,0,0,0
752,0,0,0
753,0,0,1
754,1,0,0
755,0,0,1
756,0,0,0
757,1,1,0
758,1,0,1
759,0,0,1
760,1,0,1
761,1,0,1
762,0,0,1
763,0,0,1
764,1,0,1
765,1,1,1
766,0,0,1
767,0,0,0
768,1,0,0
769,0,0,1
770,1,1,0
771,1,0,1
772,1,0,1
773,1,0,0
774,1,0,0
775,0,0,0
776,0,0,0
777,0,0,1
778,0,0,0
779,0,0,0
780,1,0,0
781,1,0,1
782,0,0,1
783,1,1,1
784,1,1,0
785,0,0,1
786,0,0,1
787,0,0,0
788,0,0,1
789,1,0,0
790,0,0,1
791,1,1,0
792,0,0,0
793,1,1,0
794,1,0,1
795,1,1,1
796,1,0,1
797,1,1,0
798,0,0,0
799,0,0,0
800,1,0,0
801,0,0,1
802,0,0,1
803,1,0,1
804,1,0,1
805,0,0,1
806,1,0,1
807,0,0,1
808,0,0,0
809,0,0,1
810,1,1,1
811,1,1,0
812,1,1,1
813,0,0,0
814,0,0,0
815,0,0,1
816,1,0,0
817,1,0,0
818,0,0,1
819,0,0,0
820,0,0,0
821,0,0,0
822,1,0,0
823,0,0,1
824,1,0,0
825,1,0,0
826,0,0,0
827,1,1,0
828,0,0,1
829,0,0,0
830,1,0,0
831,1,1,0
832,1,1,1
833,0,0,1
834,1,0,0
835,1,0,1
836,0,0,1
837,1,1,1
838,1,0,0
839,0,0,1
840,0,0,1
841,0,0,1
842,1,0,0
843,0,0,1
844,1,0,0
845,0,0,0
846,1,0,0
847,0,0,0
848,1,1,0
849,1,1,1
850,1,0,1
851,0,0,0
852,0,0,1
853,1,0,0
854,0,0,0
855,0,0,0
856,0,0,1
857,0,0,0
858,0,0,0
859,1,1,1
860,0,0,1
861,1,0,0
862,1,0,1
863,0,0,0
864,1,1,1
865,0,0,0
