respondent_id,age_group,vote_intent,poll
1,18-29,undecided,online_poll
2,18-29,dem,online_poll
3,45-64,rep,online_poll
4,18-29,rep,online_poll
5,45-64,dem,online_poll
6,65+,undecided,online_poll
7,30-44,dem,online_poll
8,65+,dem,online_poll
9,30-44,dem,online_poll
10,30-44,rep,online_poll
11,45-64,dem,online_poll
12,65+,undecided,online_poll
13,30-44,dem,online_poll
14,30-44,rep,online_poll
15,30-44,rep,online_poll
16,18-29,dem,online_poll
17,45-64,dem,online_poll
18,65+,dem,online_poll
19,18-29,undecided,online_poll
20,45-64,rep,online_poll
21,18-29,dem,online_poll
22,45-64,rep,online_poll
23,30-44,rep,online_poll
24,18-29,rep,online_poll
25,18-29,dem,online_poll
26,45-64,rep,online_poll
27,18-29,dem,online_poll
28,18-29,dem,online_poll
29,30-44,rep,online_poll
30,18-29,undecided,online_poll
31,30-44,rep,online_poll
32,18-29,undecided,online_poll
33,30-44,rep,online_poll
34,65+,rep,online_poll
35,18-29,dem,online_poll
36,30-44,rep,online_poll
37,18-29,dem,online_poll
38,30-44,rep,online_poll
39,45-64,rep,online_poll
40,18-29,dem,online_poll
41,18-29,dem,online_poll
42,18-29,rep,online_poll
43,45-64,rep,online_poll
44,65+,dem,online_poll
45,30-44,rep,online_poll
46,30-44,dem,online_poll
47,18-29,dem,online_poll
48,45-64,rep,online_poll
49,30-44,dem,online_poll
50,18-29,rep,online_poll
51,30-44,dem,online_poll
52,18-29,dem,online_poll
53,18-29,dem,online_poll
54,30-44,dem,online_poll
55,30-44,rep,online_poll
56,30-44,dem,online_poll
57,45-64,rep,online_poll
58,18-29,dem,online_poll
59,30-44,dem,online_poll
60,30-44,dem,online_poll
61,45-64,rep,online_poll
62,30-44,dem,online_poll
63,45-64,rep,online_poll
64,18-29,dem,online_poll
65,18-29,dem,online_poll
66,45-64,dem,online_poll
67,30-44,rep,online_poll
68,45-64,rep,online_poll
69,65+,rep,online_poll
70,18-29,undecided,online_poll
71,65+,dem,online_poll
72,45-64,rep,online_poll
73,65+,dem,online_poll
74,45-64,dem,online_poll
75,45-64,dem,online_poll
76,45-64,dem,online_poll
77,45-64,dem,online_poll
78,45-64,rep,online_poll
79,30-44,rep,online_poll
80,18-29,rep,online_poll
81,45-64,rep,online_poll
82,65+,rep,online_poll
83,45-64,dem,online_poll
84,45-64,dem,online_poll
85,18-29,rep,online_poll
86,30-44,rep,online_poll
87,45-64,dem,online_poll
88,30-44,rep,online_poll
89,45-64,rep,online_poll
90,30-44,rep,online_poll
91,18-29,dem,online_poll
92,45-64,rep,online_poll
93,30-44,dem,online_poll
94,45-64,rep,online_poll
95,45-64,rep,online_poll
96,18-29,dem,online_poll
97,18-29,rep,online_poll
98,18-29,rep,online_poll
99,18-29,dem,online_poll
100,18-29,dem,online_poll
101,18-29,dem,online_poll
102,18-29,dem,online_poll
103,30-44,rep,online_poll
104,65+,rep,online_poll
105,45-64,dem,online_poll
106,18-29,dem,online_poll
107,18-29,rep,online_poll
108,65+,rep,online_poll
109,30-44,dem,online_poll
110,30-44,rep,online_poll
111,30-44,rep,online_poll
112,45-64,rep,online_poll
113,30-44,rep,online_poll
114,30-44,dem,online_poll
115,18-29,rep,online_poll
116,18-29,dem,online_poll
117,30-44,rep,online_poll
118,30-44,rep,online_poll
119,45-64,rep,online_poll
120,18-29,dem,online_poll
121,30-44,dem,online_poll
122,30-44,dem,online_poll
123,45-64,dem,online_poll
124,45-64,rep,online_poll
125,65+,rep,online_poll
126,65+,dem,online_poll
127,18-29,rep,online_poll
128,65+,rep,online_poll
129,45-64,dem,online_poll
130,65+,dem,online_poll
131,65+,dem,online_poll
132,45-64,dem,online_poll
133,30-44,dem,online_poll
134,18-29,rep,online_poll
135,18-29,dem,online_poll
136,45-64,dem,online_poll
137,45-64,dem,online_poll
138,45-64,rep,online_poll
139,18-29,rep,online_poll
140,18-29,dem,online_poll
141,30-44,rep,online_poll
142,18-29,rep,online_poll
143,65+,dem,online_poll
144,30-44,undecided,online_poll
145,45-64,dem,online_poll
146,30-44,rep,online_poll
147,18-29,dem,online_poll
148,30-44,dem,online_poll
149,30-44,rep,online_poll
150,30-44,rep,online_poll
151,18-29,dem,online_poll
152,45-64,rep,online_poll
153,30-44,rep,online_poll
154,45-64,dem,online_poll
155,45-64,rep,online_poll
156,18-29,dem,online_poll
157,45-64,dem,online_poll
158,65+,rep,online_poll
159,30-44,rep,online_poll
160,45-64,dem,online_poll
161,30-44,rep,online_poll
162,18-29,dem,online_poll
163,18-29,dem,online_poll
164,30-44,rep,online_poll
165,45-64,rep,online_poll
166,30-44,dem,online_poll
167,45-64,dem,online_poll
168,65+,dem,online_poll
169,30-44,rep,online_poll
170,45-64,rep,online_poll
171,45-64,rep,online_poll
172,30-44,rep,online_poll
173,30-44,dem,online_poll
174,45-64,dem,online_poll
175,30-44,rep,online_poll
176,18-29,dem,online_poll
177,45-64,rep,online_poll
178,18-29,undecided,online_poll
179,18-29,rep,online_poll
180,18-29,dem,online_poll
181,45-64,undecided,online_poll
182,18-29,rep,online_poll
183,30-44,dem,online_poll
184,18-29,dem,online_poll
185,18-29,dem,online_poll
186,45-64,dem,online_poll
187,45-64,dem,online_poll
188,30-44,dem,online_poll
189,65+,rep,online_poll
190,18-29,rep,online_poll
191,45-64,dem,online_poll
192,18-29,rep,online_poll
193,65+,rep,online_poll
194,30-44,rep,online_poll
195,65+,rep,online_poll
196,18-29,dem,online_poll
197,30-44,dem,online_poll
198,18-29,dem,online_poll
199,18-29,rep,online_poll
200,65+,dem,online_poll
201,30-44,rep,online_poll
202,18-29,dem,online_poll
203,45-64,rep,online_poll
204,30-44,dem,online_poll
205,30-44,dem,online_poll
206,65+,rep,online_poll
207,30-44,dem,online_poll
208,30-44,dem,online_poll
209,18-29,dem,online_poll
210,18-29,dem,online_poll
211,30-44,dem,online_poll
212,45-64,dem,online_poll
213,45-64,dem,online_poll
214,45-64,dem,online_poll
215,45-64,dem,online_poll
216,30-44,dem,online_poll
217,18-29,rep,online_poll
218,30-44,undecided,online_poll
219,45-64,dem,online_poll
220,30-44,dem,online_poll
221,18-29,undecided,online_poll
222,18-29,dem,online_poll
223,30-44,rep,online_poll
224,45-64,rep,online_poll
225,45-64,dem,online_poll
226,18-29,dem,online_poll
227,65+,rep,online_poll
228,65+,rep,online_poll
229,45-64,dem,online_poll
230,45-64,rep,online_poll
231,30-44,rep,online_poll
232,30-44,rep,online_poll
233,18-29,rep,online_poll
234,30-44,undecided,online_poll
235,30-44,rep,online_poll
236,30-44,dem,online_poll
237,18-29,rep,online_poll
238,18-29,rep,online_poll
239,30-44,dem,online_poll
240,18-29,dem,online_poll
241,65+,rep,online_poll
242,30-44,rep,online_poll
243,45-64,dem,online_poll
244,45-64,rep,online_poll
245,30-44,dem,online_poll
246,30-44,rep,online_poll
247,45-64,rep,online_poll
248,45-64,rep,online_poll
249,30-44,dem,online_poll
250,65+,rep,online_poll
251,45-64,undecided,online_poll
252,18-29,dem,online_poll
253,45-64,rep,online_poll
254,18-29,dem,online_poll
255,18-29,dem,online_poll
256,18-29,dem,online_poll
257,30-44,dem,online_poll
258,45-64,rep,online_poll
259,45-64,rep,online_poll
260,18-29,dem,online_poll
261,45-64,rep,online_poll
262,65+,dem,online_poll
263,18-29,dem,online_poll
264,45-64,rep,online_poll
265,30-44,undecided,online_poll
266,18-29,rep,online_poll
267,18-29,rep,online_poll
268,45-64,rep,online_poll
269,18-29,dem,online_poll
270,18-29,dem,online_poll
271,18-29,dem,online_poll
272,45-64,rep,online_poll
273,30-44,rep,online_poll
274,18-29,dem,online_poll
275,45-64,rep,online_poll
276,45-64,dem,online_poll
277,65+,dem,online_poll
278,18-29,dem,online_poll
279,18-29,undecided,online_poll
280,45-64,dem,online_poll
281,18-29,rep,online_poll
282,45-64,dem,online_poll
283,30-44,dem,online_poll
284,30-44,rep,online_poll
285,18-29,dem,online_poll
286,45-64,rep,online_poll
287,18-29,rep,online_poll
288,30-44,dem,online_poll
289,30-44,dem,online_poll
290,65+,rep,online_poll
291,18-29,dem,online_poll
292,45-64,dem,online_poll
293,45-64,rep,online_poll
294,65+,dem,online_poll
295,30-44,dem,online_poll
296,45-64,dem,online_poll
297,18-29,rep,online_poll
298,45-64,dem,online_poll
299,30-44,rep,online_poll
300,65+,dem,online_poll
301,30-44,rep,online_poll
302,30-44,dem,online_poll
303,65+,rep,online_poll
304,18-29,dem,online_poll
305,18-29,rep,online_poll
306,18-29,dem,online_poll
307,30-44,dem,online_poll
308,45-64,dem,online_poll
309,65+,rep,online_poll
310,18-29,undecided,online_poll
311,30-44,rep,online_poll
312,30-44,rep,online_poll
313,65+,dem,online_poll
314,30-44,dem,online_poll
315,65+,dem,online_poll
316,30-44,rep,online_poll
317,45-64,dem,online_poll
318,30-44,dem,online_poll
319,45-64,rep,online_poll
320,30-44,dem,online_poll
321,45-64,rep,online_poll
322,30-44,dem,online_poll
323,30-44,dem,online_poll
324,30-44,dem,online_poll
325,45-64,dem,online_poll
326,18-29,rep,online_poll
327,18-29,rep,online_poll
328,65+,dem,online_poll
329,30-44,rep,online_poll
330,18-29,dem,online_poll
331,45-64,dem,online_poll
332,18-29,dem,online_poll
333,30-44,dem,online_poll
334,30-44,dem,online_poll
335,18-29,dem,online_poll
336,30-44,dem,online_poll
337,18-29,rep,online_poll
338,45-64,dem,online_poll
339,30-44,rep,online_poll
340,18-29,rep,online_poll
341,18-29,dem,online_poll
342,18-29,rep,online_poll
343,30-44,rep,online_poll
344,18-29,undecided,online_poll
345,18-29,dem,online_poll
346,18-29,undecided,online_poll
347,65+,rep,online_poll
348,45-64,dem,online_poll
349,45-64,dem,online_poll
350,45-64,dem,online_poll
351,30-44,rep,online_poll
352,45-64,rep,online_poll
353,45-64,dem,online_poll
354,30-44,dem,online_poll
355,30-44,rep,online_poll
356,30-44,dem,online_poll
357,30-44,rep,online_poll
358,18-29,rep,online_poll
