respondent_id,age_group,vote_intent,poll
1,45-64,dem,phone_poll
2,30-44,dem,phone_poll
3,65+,rep,phone_poll
4,30-44,undecided,phone_poll
5,65+,dem,phone_poll
6,65+,undecided,phone_poll
7,45-64,dem,phone_poll
8,65+,rep,phone_poll
9,45-64,rep,phone_poll
10,45-64,rep,phone_poll
11,65+,dem,phone_poll
12,65+,undecided,phone_poll
13,45-64,rep,phone_poll
14,45-64,undecided,phone_poll
15,45-64,rep,phone_poll
16,30-44,dem,phone_poll
17,65+,dem,phone_poll
18,65+,rep,phone_poll
19,45-64,dem,phone_poll
20,65+,rep,phone_poll
21,18-29,dem,phone_poll
22,65+,rep,phone_poll
23,45-64,rep,phone_poll
24,30-44,rep,phone_poll
25,18-29,dem,phone_poll
26,65+,dem,phone_poll
27,30-44,rep,phone_poll
28,18-29,dem,phone_poll
29,45-64,rep,phone_poll
30,45-64,dem,phone_poll
31,65+,dem,phone_poll
32,45-64,dem,phone_poll
33,65+,dem,phone_poll
34,65+,rep,phone_poll
35,30-44,rep,phone_poll
36,65+,dem,phone_poll
37,30-44,dem,phone_poll
38,45-64,undecided,phone_poll
39,65+,rep,phone_poll
40,30-44,dem,phone_poll
41,18-29,dem,phone_poll
42,45-64,dem,phone_poll
43,65+,rep,phone_poll
44,65+,rep,phone_poll
45,45-64,rep,phone_poll
46,45-64,rep,phone_poll
47,30-44,dem,phone_poll
48,65+,rep,phone_poll
49,45-64,rep,phone_poll
50,30-44,undecided,phone_poll
51,45-64,dem,phone_poll
52,30-44,rep,phone_poll
53,30-44,dem,phone_poll
54,45-64,dem,phone_poll
55,45-64,rep,phone_poll
56,45-64,rep,phone_poll
57,65+,rep,phone_poll
58,30-44,dem,phone_poll
59,45-64,rep,phone_poll
60,45-64,rep,phone_poll
61,65+,rep,phone_poll
62,45-64,dem,phone_poll
63,65+,rep,phone_poll
64,18-29,dem,phone_poll
65,18-29,rep,phone_poll
66,65+,dem,phone_poll
67,45-64,rep,phone_poll
68,65+,rep,phone_poll
69,65+,rep,phone_poll
70,45-64,dem,phone_poll
71,65+,rep,phone_poll
72,65+,dem,phone_poll
73,65+,rep,phone_poll
74,65+,dem,phone_poll
75,65+,dem,phone_poll
76,65+,dem,phone_poll
77,65+,dem,phone_poll
78,65+,rep,phone_poll
79,65+,dem,phone_poll
80,30-44,rep,phone_poll
81,65+,rep,phone_poll
82,65+,rep,phone_poll
83,65+,dem,phone_poll
84,65+,dem,phone_poll
85,45-64,dem,phone_poll
86,65+,dem,phone_poll
87,65+,dem,phone_poll
88,45-64,rep,phone_poll
89,65+,rep,phone_poll
90,45-64,rep,phone_poll
91,30-44,rep,phone_poll
92,65+,rep,phone_poll
93,45-64,rep,phone_poll
94,65+,rep,phone_poll
95,65+,rep,phone_poll
96,30-44,dem,phone_poll
97,45-64,dem,phone_poll
98,45-64,dem,phone_poll
99,30-44,dem,phone_poll
100,18-29,dem,phone_poll
101,18-29,undecided,phone_poll
102,18-29,rep,phone_poll
103,65+,dem,phone_poll
104,65+,rep,phone_poll
105,65+,dem,phone_poll
106,30-44,dem,phone_poll
107,45-64,dem,phone_poll
108,65+,rep,phone_poll
109,45-64,dem,phone_poll
110,45-64,undecided,phone_poll
111,65+,dem,phone_poll
112,65+,rep,phone_poll
113,65+,dem,phone_poll
114,45-64,rep,phone_poll
115,45-64,dem,phone_poll
116,30-44,dem,phone_poll
117,65+,dem,phone_poll
118,45-64,rep,phone_poll
119,65+,rep,phone_poll
120,18-29,rep,phone_poll
121,45-64,rep,phone_poll
122,45-64,dem,phone_poll
123,65+,dem,phone_poll
124,65+,rep,phone_poll
125,65+,rep,phone_poll
126,65+,rep,phone_poll
127,30-44,rep,phone_poll
128,65+,rep,phone_poll
129,65+,dem,phone_poll
130,65+,rep,phone_poll
131,65+,rep,phone_poll
132,65+,dem,phone_poll
133,45-64,rep,phone_poll
134,45-64,dem,phone_poll
135,30-44,rep,phone_poll
136,65+,dem,phone_poll
137,65+,dem,phone_poll
138,65+,rep,phone_poll
139,45-64,dem,phone_poll
140,30-44,dem,phone_poll
141,45-64,undecided,phone_poll
142,45-64,dem,phone_poll
143,65+,rep,phone_poll
144,65+,dem,phone_poll
145,65+,dem,phone_poll
146,65+,dem,phone_poll
147,30-44,rep,phone_poll
148,45-64,rep,phone_poll
149,45-64,rep,phone_poll
150,45-64,rep,phone_poll
151,30-44,dem,phone_poll
152,65+,rep,phone_poll
153,45-64,rep,phone_poll
154,65+,dem,phone_poll
155,65+,rep,phone_poll
156,30-44,rep,phone_poll
157,65+,dem,phone_poll
158,65+,rep,phone_poll
159,45-64,rep,phone_poll
160,65+,dem,phone_poll
161,45-64,rep,phone_poll
162,30-44,rep,phone_poll
163,30-44,dem,phone_poll
164,45-64,undecided,phone_poll
165,65+,rep,phone_poll
166,45-64,dem,phone_poll
167,65+,dem,phone_poll
168,65+,rep,phone_poll
169,45-64,rep,phone_poll
170,65+,rep,phone_poll
171,65+,rep,phone_poll
172,45-64,rep,phone_poll
173,45-64,dem,phone_poll
174,65+,dem,phone_poll
175,45-64,rep,phone_poll
176,30-44,dem,phone_poll
177,65+,rep,phone_poll
178,45-64,dem,phone_poll
179,45-64,dem,phone_poll
180,30-44,rep,phone_poll
181,65+,rep,phone_poll
182,45-64,dem,phone_poll
183,45-64,rep,phone_poll
184,18-29,rep,phone_poll
185,30-44,dem,phone_poll
186,65+,dem,phone_poll
187,65+,dem,phone_poll
188,45-64,dem,phone_poll
189,65+,rep,phone_poll
190,45-64,dem,phone_poll
191,65+,dem,phone_poll
192,45-64,dem,phone_poll
193,65+,undecided,phone_poll
194,45-64,rep,phone_poll
195,65+,rep,phone_poll
196,18-29,rep,phone_poll
197,45-64,rep,phone_poll
198,30-44,dem,phone_poll
199,45-64,dem,phone_poll
200,65+,rep,phone_poll
201,45-64,rep,phone_poll
202,30-44,dem,phone_poll
203,65+,rep,phone_poll
204,45-64,rep,phone_poll
205,45-64,rep,phone_poll
206,65+,rep,phone_poll
207,45-64,dem,phone_poll
208,45-64,dem,phone_poll
209,30-44,dem,phone_poll
210,30-44,rep,phone_poll
211,45-64,rep,phone_poll
212,65+,dem,phone_poll
213,65+,dem,phone_poll
214,65+,dem,phone_poll
215,65+,dem,phone_poll
216,45-64,rep,phone_poll
217,45-64,dem,phone_poll
218,65+,dem,phone_poll
219,65+,dem,phone_poll
220,45-64,dem,phone_poll
221,45-64,dem,phone_poll
222,30-44,rep,phone_poll
223,45-64,rep,phone_poll
224,65+,rep,phone_poll
225,65+,dem,phone_poll
226,30-44,dem,phone_poll
227,65+,rep,phone_poll
228,65+,rep,phone_poll
229,65+,dem,phone_poll
230,65+,rep,phone_poll
231,65+,dem,phone_poll
232,45-64,rep,phone_poll
233,45-64,dem,phone_poll
234,65+,dem,phone_poll
235,45-64,rep,phone_poll
236,45-64,rep,phone_poll
237,45-64,dem,phone_poll
238,30-44,undecided,phone_poll
239,45-64,rep,phone_poll
240,18-29,dem,phone_poll
241,65+,rep,phone_poll
242,45-64,undecided,phone_poll
243,65+,dem,phone_poll
244,65+,rep,phone_poll
245,45-64,rep,phone_poll
246,45-64,rep,phone_poll
247,65+,rep,phone_poll
248,65+,rep,phone_poll
249,45-64,dem,phone_poll
250,65+,rep,phone_poll
251,65+,rep,phone_poll
252,30-44,rep,phone_poll
253,65+,rep,phone_poll
254,30-44,rep,phone_poll
255,30-44,rep,phone_poll
256,18-29,rep,phone_poll
257,45-64,dem,phone_poll
258,65+,rep,phone_poll
259,65+,rep,phone_poll
260,18-29,rep,phone_poll
261,65+,rep,phone_poll
262,65+,rep,phone_poll
263,18-29,dem,phone_poll
264,65+,rep,phone_poll
265,65+,dem,phone_poll
266,45-64,dem,phone_poll
267,30-44,rep,phone_poll
268,65+,rep,phone_poll
269,30-44,dem,phone_poll
270,18-29,rep,phone_poll
271,30-44,rep,phone_poll
272,65+,rep,phone_poll
273,45-64,rep,phone_poll
274,30-44,dem,phone_poll
275,65+,rep,phone_poll
276,65+,dem,phone_poll
277,65+,rep,phone_poll
278,30-44,dem,phone_poll
279,45-64,dem,phone_poll
280,65+,dem,phone_poll
281,45-64,dem,phone_poll
282,65+,dem,phone_poll
283,45-64,rep,phone_poll
284,45-64,rep,phone_poll
285,30-44,dem,phone_poll
286,65+,rep,phone_poll
287,45-64,dem,phone_poll
288,45-64,dem,phone_poll
289,45-64,rep,phone_poll
290,65+,undecided,phone_poll
291,18-29,dem,phone_poll
292,65+,dem,phone_poll
293,65+,rep,phone_poll
294,65+,rep,phone_poll
295,45-64,rep,phone_poll
296,65+,dem,phone_poll
297,45-64,dem,phone_poll
298,65+,dem,phone_poll
299,65+,dem,phone_poll
300,65+,rep,phone_poll
301,45-64,rep,phone_poll
302,45-64,rep,phone_poll
303,65+,rep,phone_poll
304,30-44,rep,phone_poll
305,45-64,dem,phone_poll
306,30-44,dem,phone_poll
307,45-64,rep,phone_poll
308,65+,dem,phone_poll
309,65+,rep,phone_poll
310,45-64,dem,phone_poll
311,45-64,rep,phone_poll
312,65+,dem,phone_poll
313,65+,rep,phone_poll
314,45-64,dem,phone_poll
315,65+,rep,phone_poll
316,45-64,rep,phone_poll
317,65+,dem,phone_poll
318,45-64,rep,phone_poll
319,65+,rep,phone_poll
320,45-64,rep,phone_poll
321,65+,rep,phone_poll
322,45-64,dem,phone_poll
323,45-64,dem,phone_poll
324,45-64,rep,phone_poll
325,65+,dem,phone_poll
326,30-44,rep,phone_poll
327,45-64,dem,phone_poll
328,65+,rep,phone_poll
329,45-64,rep,phone_poll
330,30-44,rep,phone_poll
331,65+,dem,phone_poll
332,30-44,rep,phone_poll
333,45-64,dem,phone_poll
334,45-64,dem,phone_poll
335,30-44,dem,phone_poll
336,45-64,dem,phone_poll
337,45-64,dem,phone_poll
338,65+,dem,phone_poll
339,45-64,rep,phone_poll
340,45-64,dem,phone_poll
341,30-44,dem,phone_poll
342,45-64,dem,phone_poll
343,45-64,rep,phone_poll
344,45-64,dem,phone_poll
345,30-44,dem,phone_poll
346,45-64,dem,phone_poll
347,65+,rep,phone_poll
348,65+,dem,phone_poll
349,65+,dem,phone_poll
350,65+,dem,phone_poll
351,65+,dem,phone_poll
352,65+,rep,phone_poll
353,65+,dem,phone_poll
354,45-64,rep,phone_poll
355,45-64,rep,phone_poll
356,45-64,rep,phone_poll
357,65+,dem,phone_poll
358,45-64,dem,phone_poll
359,65+,rep,phone_poll
360,65+,dem,phone_poll
361,18-29,dem,phone_poll
362,30-44,undecided,phone_poll
363,45-64,rep,phone_poll
364,65+,rep,phone_poll
365,45-64,rep,phone_poll
366,65+,rep,phone_poll
367,30-44,rep,phone_poll
368,65+,rep,phone_poll
369,65+,dem,phone_poll
370,30-44,dem,phone_poll
371,45-64,rep,phone_poll
372,18-29,rep,phone_poll
373,65+,dem,phone_poll
374,65+,rep,phone_poll
375,45-64,rep,phone_poll
376,65+,dem,phone_poll
377,65+,rep,phone_poll
378,45-64,rep,phone_poll
379,45-64,dem,phone_poll
380,65+,dem,phone_poll
381,65+,rep,phone_poll
382,65+,rep,phone_poll
383,65+,dem,phone_poll
384,30-44,rep,phone_poll
385,45-64,dem,phone_poll
386,18-29,rep,phone_poll
387,45-64,rep,phone_poll
388,30-44,rep,phone_poll
389,45-64,dem,phone_poll
390,30-44,rep,phone_poll
391,30-44,rep,phone_poll
392,65+,dem,phone_poll
393,45-64,rep,phone_poll
394,45-64,rep,phone_poll
395,65+,dem,phone_poll
396,65+,rep,phone_poll
397,45-64,dem,phone_poll
398,65+,rep,phone_poll
399,65+,rep,phone_poll
400,65+,dem,phone_poll
401,65+,rep,phone_poll
402,45-64,dem,phone_poll
403,45-64,rep,phone_poll
404,45-64,dem,phone_poll
405,65+,rep,phone_poll
406,45-64,dem,phone_poll
407,65+,dem,phone_poll
408,45-64,dem,phone_poll
409,30-44,rep,phone_poll
410,45-64,dem,phone_poll
411,65+,rep,phone_poll
412,65+,rep,phone_poll
413,18-29,undecided,phone_poll
414,65+,rep,phone_poll
415,30-44,dem,phone_poll
416,30-44,dem,phone_poll
417,65+,dem,phone_poll
418,65+,rep,phone_poll
419,45-64,rep,phone_poll
420,45-64,rep,phone_poll
421,30-44,dem,phone_poll
422,65+,dem,phone_poll
423,45-64,rep,phone_poll
424,30-44,dem,phone_poll
425,65+,dem,phone_poll
426,45-64,rep,phone_poll
427,45-64,rep,phone_poll
428,18-29,dem,phone_poll
429,18-29,undecided,phone_poll
430,30-44,undecided,phone_poll
431,65+,dem,phone_poll
432,30-44,dem,phone_poll
433,65+,dem,phone_poll
434,30-44,undecided,phone_poll
435,45-64,rep,phone_poll
436,18-29,dem,phone_poll
437,18-29,rep,phone_poll
438,18-29,dem,phone_poll
439,65+,dem,phone_poll
440,65+,rep,phone_poll
441,45-64,dem,phone_poll
442,65+,dem,phone_poll
443,30-44,rep,phone_poll
444,45-64,rep,phone_poll
445,65+,dem,phone_poll
446,65+,dem,phone_poll
447,45-64,dem,phone_poll
448,45-64,dem,phone_poll
449,45-64,dem,phone_poll
450,65+,rep,phone_poll
451,45-64,rep,phone_poll
452,45-64,rep,phone_poll
453,65+,rep,phone_poll
454,65+,rep,phone_poll
455,18-29,dem,phone_poll
456,45-64,dem,phone_poll
457,65+,dem,phone_poll
458,65+,rep,phone_poll
459,30-44,dem,phone_poll
