voter_id,age,female,party,voted_2012,voted_2014,voted_2016,voted_2018,voted_2020,voted_2022,voted_2024,keystone_score
913624,34,1,D,1,0,0,0,1,0,1,0.6152
926935,61,0,D,1,1,1,1,1,1,1,0.9973
957515,29,0,R,0,0,0,0,1,1,1,0.5136
919866,23,0,U,0,0,0,0,0,0,1,0.529
939038,47,1,D,1,0,0,0,1,0,0,0.5818
954820,45,0,R,1,1,1,1,1,1,1,1.0
908678,49,1,U,1,0,0,0,1,0,0,0.5767
952055,33,0,R,0,1,1,1,1,1,0,0.9548
955032,60,1,D,0,1,0,0,0,0,1,0.5447
927735,53,1,R,1,0,1,0,1,1,1,0.7148
956169,59,0,U,1,1,1,1,1,0,1,1.0
900198,49,1,U,0,0,0,1,1,0,1,0.6546
901551,86,0,D,1,1,1,1,1,1,1,0.9331
917515,25,1,U,0,0,0,0,0,0,0,0.5239
903558,55,0,D,1,1,1,1,1,1,1,1.0
925648,40,0,R,1,1,1,1,1,0,1,1.0
917635,42,0,R,1,0,1,1,0,0,1,0.9354
957969,70,1,D,1,1,1,1,1,0,1,0.9742
921221,47,0,R,1,1,1,1,1,1,1,1.0
926630,43,1,D,0,0,1,0,1,1,1,0.626
946267,39,1,D,1,1,1,1,1,0,1,1.0
949429,32,0,R,0,0,1,0,1,0,0,0.6542
922366,20,1,D,0,0,0,0,0,0,1,0.5367
959151,20,1,U,0,0,0,0,0,0,1,0.5367
907125,51,1,D,1,1,1,1,1,1,1,1.0
924024,57,0,D,1,1,1,1,1,1,1,1.0
941445,70,1,D,1,1,1,1,1,1,1,0.9742
951175,41,1,R,1,1,0,0,1,0,1,0.7079
900380,50,0,U,1,1,1,1,1,1,1,1.0
912680,48,0,R,1,0,0,0,1,0,1,0.5793
941638,37,1,U,0,0,0,0,0,0,0,0.493
923070,34,1,U,0,0,0,0,0,0,0,0.5007
922130,30,0,U,0,0,0,0,0,0,0,0.511
907921,53,1,U,1,1,1,1,1,1,1,1.0
928331,46,0,R,1,1,0,0,1,1,1,0.6951
938447,22,1,U,0,0,0,0,0,0,0,0.5316
