race_id,year,office,forecast,won
3,2018,City Council,0.6,1
8,2018,City Council,0.35,0
9,2018,School Board,0.9,1
10,2018,School Board,0.35,0
11,2018,City Council,0.4,0
19,2018,City Council,0.25,0
35,2018,City Council,0.2,1
43,2018,Mayor,0.3,1
45,2018,Mayor,0.35,0
47,2018,School Board,0.6,1
58,2018,State House,0.1,0
61,2018,School Board,0.7,1
64,2018,County Executive,0.1,0
68,2018,State House,0.25,1
70,2018,County Executive,0.75,0
76,2018,Mayor,0.45,1
90,2018,School Board,0.2,0
91,2018,City Council,0.65,0
92,2018,Mayor,0.75,1
97,2018,County Executive,0.3,0
103,2018,County Executive,0.9,1
107,2018,County Executive,0.75,0
109,2018,School Board,0.25,1
114,2018,School Board,0.2,0
133,2018,Mayor,0.4,0
1,2019,County Executive,0.15,0
18,2019,Mayor,0.4,1
21,2019,City Council,0.7,0
27,2019,City Council,0.75,1
31,2019,City Council,0.45,1
34,2019,City Council,0.7,1
48,2019,School Board,0.15,0
51,2019,School Board,0.55,0
53,2019,County Executive,0.35,0
78,2019,School Board,0.65,1
79,2019,School Board,0.7,0
84,2019,State House,0.6,1
89,2019,State House,0.9,0
93,2019,Mayor,0.1,0
98,2019,County Executive,0.15,1
110,2019,Mayor,0.5,0
115,2019,County Executive,0.5,1
117,2019,City Council,0.6,0
119,2019,School Board,0.75,1
120,2019,School Board,0.65,1
130,2019,State House,0.1,0
138,2019,State House,0.85,1
140,2019,City Council,0.7,1
142,2019,Mayor,0.75,0
143,2019,County Executive,0.25,0
150,2019,State House,0.9,1
13,2020,State House,0.35,0
14,2020,Mayor,0.75,0
17,2020,City Council,0.85,1
28,2020,State House,0.4,0
30,2020,City Council,0.8,1
33,2020,County Executive,0.25,0
36,2020,State House,0.2,0
38,2020,State House,0.8,0
44,2020,State House,0.4,1
52,2020,City Council,0.7,1
56,2020,State House,0.4,0
57,2020,Mayor,0.45,0
60,2020,City Council,0.45,0
72,2020,State House,0.3,1
73,2020,City Council,0.45,0
81,2020,Mayor,0.75,1
105,2020,County Executive,0.2,0
108,2020,City Council,0.85,0
113,2020,County Executive,0.25,0
123,2020,State House,0.9,0
124,2020,School Board,0.3,1
126,2020,State House,0.7,1
129,2020,City Council,0.65,1
134,2020,City Council,0.45,1
146,2020,City Council,0.7,1
6,2021,Mayor,0.3,0
15,2021,City Council,0.25,0
16,2021,School Board,0.15,0
59,2021,County Executive,0.9,1
65,2021,Mayor,0.65,0
67,2021,City Council,0.35,0
71,2021,School Board,0.85,1
77,2021,School Board,0.8,0
88,2021,Mayor,0.45,0
95,2021,Mayor,0.35,1
104,2021,City Council,0.75,1
106,2021,City Council,0.5,0
111,2021,County Executive,0.1,0
122,2021,Mayor,0.8,1
127,2021,Mayor,0.6,1
5,2022,Mayor,0.75,1
20,2022,City Council,0.75,1
32,2022,Mayor,0.9,1
49,2022,City Council,0.55,1
50,2022,Mayor,0.25,0
66,2022,County Executive,0.75,1
69,2022,State House,0.1,1
74,2022,Mayor,0.75,0
94,2022,Mayor,0.15,0
96,2022,City Council,0.45,1
99,2022,School Board,0.4,0
100,2022,School Board,0.5,0
101,2022,School Board,0.3,0
116,2022,Mayor,0.75,1
118,2022,City Council,0.2,0
139,2022,Mayor,0.1,0
147,2022,State House,0.75,0
4,2023,School Board,0.55,1
7,2023,County Executive,0.8,1
22,2023,School Board,0.7,0
23,2023,Mayor,0.7,1
24,2023,County Executive,0.6,1
29,2023,City Council,0.65,0
37,2023,City Council,0.1,1
41,2023,State House,0.45,0
46,2023,School Board,0.4,1
62,2023,County Executive,0.15,0
80,2023,Mayor,0.9,0
86,2023,School Board,0.15,0
87,2023,City Council,0.7,1
102,2023,Mayor,0.85,1
112,2023,School Board,0.3,0
121,2023,County Executive,0.85,1
125,2023,State House,0.5,1
128,2023,City Council,0.15,0
131,2023,City Council,0.85,0
135,2023,City Council,0.9,1
145,2023,County Executive,0.2,0
148,2023,City Council,0.35,0
149,2023,County Executive,0.85,1
2,2024,State House,0.75,0
12,2024,School Board,0.4,0
25,2024,School Board,0.9,1
26,2024,Mayor,0.2,0
39,2024,State House,0.25,0
40,2024,City Council,0.2,0
42,2024,Mayor,0.35,1
54,2024,State House,0.15,0
55,2024,School Board,0.9,1
63,2024,Mayor,0.4,1
75,2024,County Executive,0.45,0
82,2024,Mayor,0.25,0
83,2024,State House,0.6,1
85,2024,City Council,0.15,0
132,2024,Mayor,0.65,1
136,2024,City Council,0.9,1
137,2024,School Board,0.55,0
141,2024,School Board,0.75,0
144,2024,School Board,0.65,1
