spend_advantage_m,margin_shift_pp
6.3,-1.38
19.9,1.5
13.8,-0.47
-13.7,-0.37
-10.0,-3.47
18.7,-0.51
-24.7,-1.73
16.1,3.05
14.9,3.61
-1.6,-3.39
-9.8,-2.48
-11.1,1.06
-12.3,-5.59
-2.7,-1.3
0.2,-0.23
2.7,3.28
24.8,2.96
14.6,-0.09
6.1,-0.62
24.4,0.6
-14.2,3.1
-17.0,-1.92
5.6,-0.48
-22.8,-0.26
-23.2,-1.46
0.7,-0.46
-1.7,-2.87
20.9,1.01
6.5,-0.79
0.7,2.95
-0.2,1.62
-12.6,-0.69
-24.4,0.45
-15.4,-1.62
9.6,3.11
-15.0,-0.76
-6.5,1.13
-24.8,-4.47
16.5,1.69
-17.3,-5.08
-11.6,-5.67
19.0,0.19
0.5,-2.23
17.4,1.28
7.0,5.96
12.1,-1.47
-20.4,-2.58
2.1,0.62
0.4,1.25
18.6,0.49
-6.9,-0.86
4.9,2.0
-22.0,0.2
-5.6,-2.87
-8.8,-0.64
-17.5,-0.79
15.8,-1.85
-6.0,0.35
23.9,-0.95
4.5,2.66
